Date,Measure
1/4/2018,58.5
1/9/2018,59.25
1/17/2018,56.4
1/22/2018,56.2
1/30/2018,55.9
2/1/2018,55.85
2/3/2018,55.8
2/4/2018,55.5
2/5/2018,55.4
2/6/2018,55.3
2/8/2018,55.15
2/9/2018,55.15
2/12/2018,55
2/13/2018,54.95
2/14/2018,54.75
2/15/2018,54.5
2/20/2018,54.3
2/21/2018,54
2/26/2018,53.85
2/27/2018,53.55
3/5/2018,53.15
3/6/2018,53.05
3/9/2018,52.85
3/13/2018,52.8
3/14/2018,52.65
3/20/2018,52.5
3/21/2018,52.2
3/24/2018,52.15
3/25/2018,51.95
3/29/2018,51.7
4/3/2018,51.625
4/5/2018,51.35
4/6/2018,51.125
4/10/2018,51.1
4/13/2018,50.9
4/16/2018,50.85
4/17/2018,50.9
4/20/2018,50.7
4/21/2018,50.55
4/24/2018,50.45
4/25/2018,50.25
5/2/2018,50.25
5/3/2018,49.95
